id,name,manhinh,cpu,ram,loaibonho,dungluongbonho,gpu,trongluong,gia,class
4370,Aspire E5-576G,15.6,Intel Core i3 6006U 2GHz,4,HDD,1024,Nvidia GeForce 940MX,2.23,544,PhoThong
4371,TravelMate B,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,SSD,128,Intel HD Graphics 400,1.4,435,VanPhong
4130,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8,SSD,256,AMD Radeon 520,2.2,677.35,VanPhong
4372,Pro P2540UA-AB51,15.6,Intel Core i5 7200U 2.5GHz,8,HDD,1024,Intel HD Graphics 620,2.37,749,PhoThong
4131,Yoga 520-14IKB,14,Intel Core i5 8250U 1.6GHz,8,SSD,256,Intel UHD Graphics 620,1.74,899,VanPhong
4373,IdeaPad 510s-14IKB,14,Intel Core i7 7500U 2.7GHz,8,SSD,512,AMD Radeon R7 M460,1.5,799,VanPhong
5220,test1,14,intel core i7 2.9ghz,8,hybrid,265,nvidia geforce 920mx,2,222,VanPhong
4132,Portege Z30-C-16L,13.3,Intel Core i7 6500U 2.5GHz,8,SSD,256,Intel HD Graphics 520,1.2,1363,VanPhong
4374,Thinkpad P51,15.6,Intel Core i7 7820HQ 2.9GHz,8,SSD,256,Nvidia Quadro M2200M,2.67,2090,ChuyenNghiep
5221,ewqe,16,intel core i7 7820hk 2.9ghz,64,ssd+hdd,256,nvidia geforce gtx 1050ti,3,2222,ChuyenNghiep
4133,ProBook 450,15.6,Intel Core i5 8250U 1.6GHz,8,HDD,1024,Intel UHD Graphics 620,2.1,794,PhoThong
4375,X541NA-PD1003Y (N4200/4GB/500GB/W10),15.6,Intel Pentium Quad Core N4200 1.1GHz,4,HDD,500,Intel HD Graphics 500,2,304,PhoThong
5222,precision m4800-cn,15.6,intel core i7 7700hq 2.7ghz,16,ssd+hdd,1000,nvidia quadro m3000m,3,1200,ChuyenNghiep
4134,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,16,SSD+HDD,1280,Nvidia GeForce GTX 1060,4.42,2456.34,ChuyenNghiep
4376,Aspire 5,15.6,Intel Core i3 6006U 2GHz,4,HDD,500,Nvidia GeForce GTX 940MX,2.2,469,PhoThong
5223,dell alienware m15-cn,15.6,intel core i7 7700hq 2.7ghz,16,ssd+hdd,1500,nvidia geforce gtx 1080,4,3000,ChuyenNghiep
4135,Aspire E5-576G,15.6,Intel Core i7 7500U 2.7GHz,8,SSD,256,Nvidia GeForce 940MX,2.2,832,VanPhong
4377,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8,HDD,2048,AMD Radeon 530,2.02,759,PhoThong
5224,macbook pro 2018-cn,15,intel core i7 7820hk 2.9ghz,24,ssd+hdd,1000,amd radeon pro 560,2,4000,ChuyenNghiep
4125,Inspiron 5370,13.3,Intel Core i7 8550U 1.8GHz,8,SSD,256,AMD Radeon 530,1.4,931.88,VanPhong
4367,Surface Laptop,13.5,Intel Core M m3-7Y30 2.2GHz,4,SSD,128,Intel HD Graphics 615,1.252,989,VanPhong
4126,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,8,HDD,1024,Nvidia GeForce GTX 940MX,2.8,589,PhoThong
4368,Surface Laptop,13.5,Intel Core i7 7660U 2.5GHz,8,SSD,256,Intel Iris Plus Graphics 640,1.25,1799,VanPhong
5215,sadas,14,intel core i5 7200u 2.7ghz,24,hdd,233,amd firepro w4190m,2,3230,PhoThong
4127,Probook 440,14,Intel Core i7 8550U 1.8GHz,8,SSD,256,Nvidia GeForce 930MX,1.63,1031,VanPhong
4369,17-BS092ND (i3-6006U/8GB/256GB/W10),17.3,Intel Core i3 6006U 2GHz,8,SSD,256,Intel HD Graphics 520,2.5,639.9,VanPhong
5216,dsada,14,intel core i5 7200u 2.7ghz,32,ssd+hdd,2321,amd firepro w4190m,2,2323,ChuyenNghiep
4128,Latitude 5490,14,Intel Core i5 8250U 1.6GHz,8,SSD,256,Intel UHD Graphics 620,1.6,1149,VanPhong
4129,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,16,SSD,512,Intel UHD Graphics 620,1.62,1279,VanPhong
4381,ZBook 15u,15.6,Intel Core i5 7200U 2.5GHz,8,HDD,500,AMD FirePro W4190M ,1.9,1154,PhoThong
4140,Pro P2540UA-XO0198T,15.6,Intel Core i3 7100U 2.4GHz,4,HDD,1024,Intel HD Graphics 620,2.37,398.99,PhoThong
4382,Pixelbook (Core,12.3,Intel Core i5 7Y57 1.2GHz,8,SSD,128,Intel HD Graphics 615,1.1,1275,VanPhong
4141,15-rb013nv (E2-9000e/4GB/500GB/W10),15.6,AMD E-Series 9000e 1.5GHz,4,HDD,500,AMD Radeon R2,2.1,330,PhoThong
4383,Latitude 7390,13.3,Intel Core i5 8250U 1.6GHz,8,SSD,256,Intel UHD Graphics 620,1.42,1841.85,VanPhong
5230,dell inspiron-pt,13,intel core i3 6006u 2ghz,4,hdd,500,intel hd graphics 405,2,600,PhoThong
